TRACE: [Apr 22 2023 | 17:27:18] Starting the server
TRACE: [Apr 22 2023 | 17:27:18] Database initialization
TRACE: [Apr 22 2023 | 17:27:18] Wainitng for connection ...
INFO: [Apr 22 2023 | 17:27:18] New client was connected: 127.0.0.1
TRACE: [Apr 22 2023 | 17:27:18] Creating client handler
TRACE: [Apr 22 2023 | 17:27:18] Allocating memory for new client
TRACE: [Apr 22 2023 | 17:27:18] SSL_accept() function
TRACE: [Apr 22 2023 | 17:27:18] Setting up flags
TRACE: [Apr 22 2023 | 17:27:18] Everything was configured, starting a new thread
TRACE: [Apr 22 2023 | 17:27:18] Wainitng for connection ...
TRACE: [Apr 22 2023 | 17:27:18] Request was received: {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:27:18] Request was received
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:27:18] Handling logging in
TRACE: [Apr 22 2023 | 17:27:18] Admin
TRACE: [Apr 22 2023 | 17:27:18] 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
TRACE: [Apr 22 2023 | 17:27:18] Checking password
TRACE: [Apr 22 2023 | 17:27:18] Everything is fine
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":3}
TRACE: [Apr 22 2023 | 17:27:18] Sending response
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":3}
TRACE: [Apr 22 2023 | 17:27:18] Request was received: {"rtype":10}
TRACE: [Apr 22 2023 | 17:27:18] Request was received
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":10}
TRACE: [Apr 22 2023 | 17:27:18] Get joined chats request
TRACE: [Apr 22 2023 | 17:27:18] SELECT * FROM 'room' WHERE room.id IN (SELECT room_member.room_id FROM 'room_member' WHERE client_id = '1')
TRACE: [Apr 22 2023 | 17:27:18] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:27:18] Sending response
TRACE: [Apr 22 2023 | 17:27:18] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:27:18] Request was received: {"rtype":8,"room_id":2,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:27:18] Request was received
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":8,"room_id":2,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:27:18] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:27:18] ID
TRACE: [Apr 22 2023 | 17:27:18] 2
TRACE: [Apr 22 2023 | 17:27:18] Building message array
TRACE: [Apr 22 2023 | 17:27:18] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"},{"id":50,"from_id":1,"sending_date":22042023,"sending_time":1501,"context":"Edited","username":"You"},{"id":24,"from_id":3,"sending_date":22042023,"sending_time":1324,"context":"Now it's 13:24","username":"User1"},{"id":23,"from_id":1,"sending_date":22042023,"sending_time":1320,"context":"Time is 13:20 rn","username":"You"},{"id":22,"from_id":1,"sending_date":22042023,"sending_time":1051,"context":"Time is 10:51","username":"You"},{"id":21,"from_id":1,"sending_date":22042023,"sending_time":1007,"context":"00:45","username":"You"},{"id":20,"from_id":1,"sending_date":22042023,"sending_time":1006,"context":"00:45 again","username":"You"},{"id":19,"from_id":1,"sending_date":22042023,"sending_time":957,"context":"00:45 why 00:37","username":"You"},{"id":18,"from_id":1,"sending_date":22042023,"sending_time":956,"context":"00:45 should be","username":"You"},{"id":17,"from_id":1,"sending_date":22042023,"sending_time":954,"context":"00:51 should be","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:27:18] Sending response
TRACE: [Apr 22 2023 | 17:27:18] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"},{"id":50,"from_id":1,"sending_date":22042023,"sending_time":1501,"context":"Edited","username":"You"},{"id":24,"from_id":3,"sending_date":22042023,"sending_time":1324,"context":"Now it's 13:24","username":"User1"},{"id":23,"from_id":1,"sending_date":22042023,"sending_time":1320,"context":"Time is 13:20 rn","username":"You"},{"id":22,"from_id":1,"sending_date":22042023,"sending_time":1051,"context":"Time is 10:51","username":"You"},{"id":21,"from_id":1,"sending_date":22042023,"sending_time":1007,"context":"00:45","username":"You"},{"id":20,"from_id":1,"sending_date":22042023,"sending_time":1006,"context":"00:45 again","username":"You"},{"id":19,"from_id":1,"sending_date":22042023,"sending_time":957,"context":"00:45 why 00:37","username":"You"},{"id":18,"from_id":1,"sending_date":22042023,"sending_time":956,"context":"00:45 should be","username":"You"},{"id":17,"from_id":1,"sending_date":22042023,"sending_time":954,"context":"00:51 should be","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:27:18] Request was received: {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:27:18] Request was received
TRACE: [Apr 22 2023 | 17:27:18] {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:27:18] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:27:18] ID
TRACE: [Apr 22 2023 | 17:27:18] 2
TRACE: [Apr 22 2023 | 17:27:18] Building message array
TRACE: [Apr 22 2023 | 17:27:18] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:27:18] Sending response
TRACE: [Apr 22 2023 | 17:27:18] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Starting the server
TRACE: [Apr 22 2023 | 17:30:13] Database initialization
TRACE: [Apr 22 2023 | 17:30:13] Wainitng for connection ...
INFO: [Apr 22 2023 | 17:30:13] New client was connected: 127.0.0.1
TRACE: [Apr 22 2023 | 17:30:13] Creating client handler
TRACE: [Apr 22 2023 | 17:30:13] Allocating memory for new client
TRACE: [Apr 22 2023 | 17:30:13] SSL_accept() function
TRACE: [Apr 22 2023 | 17:30:13] Setting up flags
TRACE: [Apr 22 2023 | 17:30:13] Everything was configured, starting a new thread
TRACE: [Apr 22 2023 | 17:30:13] Wainitng for connection ...
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:30:13] Handling logging in
TRACE: [Apr 22 2023 | 17:30:13] Admin
TRACE: [Apr 22 2023 | 17:30:13] 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
TRACE: [Apr 22 2023 | 17:30:13] Checking password
TRACE: [Apr 22 2023 | 17:30:13] Everything is fine
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":3}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":3}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":10}
TRACE: [Apr 22 2023 | 17:30:13] Get joined chats request
TRACE: [Apr 22 2023 | 17:30:13] SELECT * FROM 'room' WHERE room.id IN (SELECT room_member.room_id FROM 'room_member' WHERE client_id = '1')
TRACE: [Apr 22 2023 | 17:30:13] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:30:13] Starting the server
TRACE: [Apr 22 2023 | 17:30:13] Database initialization
TRACE: [Apr 22 2023 | 17:30:13] Wainitng for connection ...
INFO: [Apr 22 2023 | 17:30:13] New client was connected: 127.0.0.1
TRACE: [Apr 22 2023 | 17:30:13] Creating client handler
TRACE: [Apr 22 2023 | 17:30:13] Allocating memory for new client
TRACE: [Apr 22 2023 | 17:30:13] SSL_accept() function
TRACE: [Apr 22 2023 | 17:30:13] Setting up flags
TRACE: [Apr 22 2023 | 17:30:13] Everything was configured, starting a new thread
TRACE: [Apr 22 2023 | 17:30:13] Wainitng for connection ...
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":0,"login":"Admin","password":"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"}
TRACE: [Apr 22 2023 | 17:30:13] Handling logging in
TRACE: [Apr 22 2023 | 17:30:13] Admin
TRACE: [Apr 22 2023 | 17:30:13] 8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92
TRACE: [Apr 22 2023 | 17:30:13] Checking password
TRACE: [Apr 22 2023 | 17:30:13] Everything is fine
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":3}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":3}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":10}
TRACE: [Apr 22 2023 | 17:30:13] Get joined chats request
TRACE: [Apr 22 2023 | 17:30:13] SELECT * FROM 'room' WHERE room.id IN (SELECT room_member.room_id FROM 'room_member' WHERE client_id = '1')
TRACE: [Apr 22 2023 | 17:30:13] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"chats":[{"name":"Test1","color":0,"id":1},{"name":"ChatWithUser1","color":0,"id":2}],"rtype":13}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":2,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":2,"mode":1,"start_id":-2,"count":10}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 2
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"},{"id":50,"from_id":1,"sending_date":22042023,"sending_time":1501,"context":"Edited","username":"You"},{"id":24,"from_id":3,"sending_date":22042023,"sending_time":1324,"context":"Now it's 13:24","username":"User1"},{"id":23,"from_id":1,"sending_date":22042023,"sending_time":1320,"context":"Time is 13:20 rn","username":"You"},{"id":22,"from_id":1,"sending_date":22042023,"sending_time":1051,"context":"Time is 10:51","username":"You"},{"id":21,"from_id":1,"sending_date":22042023,"sending_time":1007,"context":"00:45","username":"You"},{"id":20,"from_id":1,"sending_date":22042023,"sending_time":1006,"context":"00:45 again","username":"You"},{"id":19,"from_id":1,"sending_date":22042023,"sending_time":957,"context":"00:45 why 00:37","username":"You"},{"id":18,"from_id":1,"sending_date":22042023,"sending_time":956,"context":"00:45 should be","username":"You"},{"id":17,"from_id":1,"sending_date":22042023,"sending_time":954,"context":"00:51 should be","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"},{"id":50,"from_id":1,"sending_date":22042023,"sending_time":1501,"context":"Edited","username":"You"},{"id":24,"from_id":3,"sending_date":22042023,"sending_time":1324,"context":"Now it's 13:24","username":"User1"},{"id":23,"from_id":1,"sending_date":22042023,"sending_time":1320,"context":"Time is 13:20 rn","username":"You"},{"id":22,"from_id":1,"sending_date":22042023,"sending_time":1051,"context":"Time is 10:51","username":"You"},{"id":21,"from_id":1,"sending_date":22042023,"sending_time":1007,"context":"00:45","username":"You"},{"id":20,"from_id":1,"sending_date":22042023,"sending_time":1006,"context":"00:45 again","username":"You"},{"id":19,"from_id":1,"sending_date":22042023,"sending_time":957,"context":"00:45 why 00:37","username":"You"},{"id":18,"from_id":1,"sending_date":22042023,"sending_time":956,"context":"00:45 should be","username":"You"},{"id":17,"from_id":1,"sending_date":22042023,"sending_time":954,"context":"00:51 should be","username":"You"}],"deleted":[],"edited":[],"rtype":11}
TRACE: [Apr 22 2023 | 17:30:13] Request was received: {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Request was received
TRACE: [Apr 22 2023 | 17:30:13] {"rtype":8,"room_id":2,"mode":2,"start_id":51,"count":10000}
TRACE: [Apr 22 2023 | 17:30:13] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:30:13] ID
TRACE: [Apr 22 2023 | 17:30:13] 2
TRACE: [Apr 22 2023 | 17:30:13] Building message array
TRACE: [Apr 22 2023 | 17:30:13] {"messages":[{"id":51,"from_id":1,"sending_date":22042023,"sending_time":1522,"context":"Edited","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:30:13] Sending response
